,Genero,CCAA,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
0,Mujer,Andalucía,3604,3621,4343,4759,4460,4469,3950,3578,3058,2723,2802,3324,3466,3479,4095,3710,,2541.0
1,Mujer,Aragón,1286,1220,1477,1578,1523,1445,1340,1179,1040,843,939,1105,1178,1137,1406,1302,1185,1100.0
2,Mujer,Asturias,403,382,399,492,467,427,418,356,298,268,269,304,313,296,321,272,223,197.0
3,Mujer,Balears,889,882,945,1087,1102,1032,951,853,753,659,669,792,867,797,948,915,909,831.0
4,Mujer,Canarias,517,500,539,682,733,638,593,562,464,411,346,456,478,445,544,536,578,486.0
5,Mujer,Cantabria,236,244,302,300,320,318,255,277,248,215,222,287,294,235,258,238,183,196.0
6,Mujer,Castilla y León,1819,1870,2440,2393,2338,2328,2317,2093,1845,1801,1178,1476,1518,1538,1676,1364,1067,966.0
7,Mujer,Castilla  La Mancha,1217,1311,1573,1603,1491,1484,1368,1298,1085,1103,2025,2377,2927,2927,3323,3047,3105,3145.0
8,Mujer,Cataluña,5284,5278,5959,6849,6593,6389,3710,3379,3032,2529,4126,4559,4529,4373,5019,4629,4484,3958.0
9,Mujer,Comunitat Valenciana,3328,3265,3961,4114,3936,4243,5940,5155,4439,4000,2877,3445,3641,3772,4547,4271,3830,3603.0
10,Mujer,Extremadura,408,389,492,503,459,415,392,379,339,258,271,356,361,360,368,319,277,217.0
11,Mujer,Galicia,756,887,1074,1060,961,863,834,621,515,506,505,520,482,503,447,457,390,364.0
12,Mujer,Madrid,6302,6238,7696,9392,8916,8636,8015,7239,6309,5670,6022,7117,6983,6989,7299,6902,6054,5544.0
13,Mujer,Murcia,1254,1323,1512,1708,1558,1503,1520,1419,1346,1169,1246,1437,1605,1592,1752,1638,1406,1162.0
14,Mujer,Navarra,1345,1428,1466,1766,1749,1627,1557,1451,1250,1136,1375,1544,1457,1389,1490,1281,1168,1064.0
15,Mujer,País Vasco,3583,3485,3926,4447,4366,4355,309,279,240,208,3019,3180,2799,2384,2426,2113,1728,1737.0
16,Mujer,La Rioja,301,280,329,329,295,347,4036,3645,3275,2988,255,298,320,307,355,318,335,323.0
17,Mujer,Ceuta ,19,21,20,11,21,4,12,5,6,4,9,12,9,12,17,15,10,11.0
18,Mujer,Melilla,27,21,14,18,14,13,14,11,12,6,8,10,12,14,9,8,14,12.0
19,Hombre,Andalucía,500,449,363,486,386,360,288,214,206,171,141,155,161,151,163,206,130,105.0
20,Hombre,Aragón,156,103,131,124,143,114,87,68,49,51,41,34,49,36,48,48,38,41.0
21,Hombre,"Asturias, Principado de",47,37,31,41,31,41,42,37,25,25,25,22,15,35,18,11,11,4.0
22,Hombre,Balears,173,167,134,152,143,121,103,78,57,48,43,42,39,48,60,52,24,26.0
23,Hombre,Canarias,117,89,75,102,112,107,100,94,67,57,57,48,50,40,39,53,31,39.0
24,Hombre,Cantabria,28,26,43,25,22,22,15,9,16,10,13,16,14,10,16,11,7,6.0
25,Hombre,Castilla y León,196,162,168,193,191,147,126,102,94,81,47,55,66,73,71,55,51,41.0
26,Hombre,Castilla La Mancha,155,115,153,132,120,106,108,88,65,59,63,77,87,74,73,87,69,86.0
27,Hombre,Cataluña,636,450,500,553,508,498,199,210,135,105,182,215,218,177,174,186,160,124.0
28,Hombre,Comunitat Valenciana,405,343,317,342,313,238,394,314,248,192,113,114,119,116,120,132,126,78.0
29,Hombre,Extremadura,42,41,36,41,63,40,35,34,33,17,17,33,23,12,19,22,15,10.0
30,Hombre,Galicia,112,121,142,94,105,72,76,62,41,31,31,35,29,39,30,40,30,19.0
31,Hombre,Madrid,968,754,817,1121,1037,899,848,673,551,422,410,378,418,322,365,327,307,209.0
32,Hombre,Murcia,109,99,102,160,136,105,103,65,56,37,47,50,57,63,58,66,53,34.0
33,Hombre,Navarra,180,189,153,188,175,123,104,88,67,54,64,75,81,69,65,56,41,41.0
34,Hombre,País Vasco,567,1532,1561,516,449,347,11,16,9,8,183,173,137,120,128,116,112,70.0
35,Hombre,La Rioja,35,29,26,23,10,17,342,262,160,171,10,6,9,7,22,10,15,10.0
36,Hombre,Ceuta ,2,1,3,1,2,3,5,1,2,2,-,1,1,1,-,2,3,1.0
37,Hombre,Melilla,6,2,4,3,1,3,0,1,0,0,1,-,-,-,2,1,-,2.1406727828746175
