,sexo,sector_del_nivel_de_formación_alcanzado,edad,periodo,total
0,Ambos sexos,Total,Total,2022,39925.1
1,Ambos sexos,Total,Total,2021,39654.2
2,Ambos sexos,Total,Total,2020,39578.8
3,Ambos sexos,Total,Total,2019,39269.3
4,Ambos sexos,Total,Total,2018,38886.8
5,Ambos sexos,Total,Total,2017,38654.1
6,Ambos sexos,Total,Total,2016,38531.5
7,Ambos sexos,Total,De 16 a 24 años,2022,4434.5
8,Ambos sexos,Total,De 16 a 24 años,2021,4328.9
9,Ambos sexos,Total,De 16 a 24 años,2020,4279.0
10,Ambos sexos,Total,De 16 a 24 años,2019,4177.1
11,Ambos sexos,Total,De 16 a 24 años,2018,4078.0
12,Ambos sexos,Total,De 16 a 24 años,2017,4017.7
13,Ambos sexos,Total,De 16 a 24 años,2016,3996.4
14,Ambos sexos,Total,De 25 a 34 años,2022,5198.9
15,Ambos sexos,Total,De 25 a 34 años,2021,5199.2
16,Ambos sexos,Total,De 25 a 34 años,2020,5270.4
17,Ambos sexos,Total,De 25 a 34 años,2019,5290.3
18,Ambos sexos,Total,De 25 a 34 años,2018,5307.4
19,Ambos sexos,Total,De 25 a 34 años,2017,5369.2
20,Ambos sexos,Total,De 25 a 34 años,2016,5522.6
21,Ambos sexos,Total,De 35 a 44 años,2022,6701.8
22,Ambos sexos,Total,De 35 a 44 años,2021,6914.5
23,Ambos sexos,Total,De 35 a 44 años,2020,7153.4
24,Ambos sexos,Total,De 35 a 44 años,2019,7321.3
25,Ambos sexos,Total,De 35 a 44 años,2018,7449.3
26,Ambos sexos,Total,De 35 a 44 años,2017,7564.4
27,Ambos sexos,Total,De 35 a 44 años,2016,7675.7
28,Ambos sexos,Total,De 45 a 54 años,2022,7700.7
29,Ambos sexos,Total,De 45 a 54 años,2021,7630.4
30,Ambos sexos,Total,De 45 a 54 años,2020,7560.9
31,Ambos sexos,Total,De 45 a 54 años,2019,7472.5
32,Ambos sexos,Total,De 45 a 54 años,2018,7374.2
33,Ambos sexos,Total,De 45 a 54 años,2017,7274.4
34,Ambos sexos,Total,De 45 a 54 años,2016,7183.2
35,Ambos sexos,Total,55 y más años,2022,15889.1
36,Ambos sexos,Total,55 y más años,2021,15581.3
37,Ambos sexos,Total,55 y más años,2020,15315.2
38,Ambos sexos,Total,55 y más años,2019,15008.0
39,Ambos sexos,Total,55 y más años,2018,14677.9
40,Ambos sexos,Total,55 y más años,2017,14428.4
41,Ambos sexos,Total,55 y más años,2016,14153.6
42,Ambos sexos,Formacion basica,Total,2022,22463.8
43,Ambos sexos,Formacion basica,Total,2021,22374.8
44,Ambos sexos,Formacion basica,Total,2020,22928.7
45,Ambos sexos,Formacion basica,Total,2019,23159.2
46,Ambos sexos,Formacion basica,Total,2018,23240.5
47,Ambos sexos,Formacion basica,Total,2017,23272.5
48,Ambos sexos,Formacion basica,Total,2016,23528.7
49,Ambos sexos,Formacion basica,De 16 a 24 años,2022,3314.5
50,Ambos sexos,Formacion basica,De 16 a 24 años,2021,3245.8
51,Ambos sexos,Formacion basica,De 16 a 24 años,2020,3278.9
52,Ambos sexos,Formacion basica,De 16 a 24 años,2019,3232.9
53,Ambos sexos,Formacion basica,De 16 a 24 años,2018,3172.1
54,Ambos sexos,Formacion basica,De 16 a 24 años,2017,3059.9
55,Ambos sexos,Formacion basica,De 16 a 24 años,2016,3056.2
56,Ambos sexos,Formacion basica,De 25 a 34 años,2022,1903.7
57,Ambos sexos,Formacion basica,De 25 a 34 años,2021,1967.2
58,Ambos sexos,Formacion basica,De 25 a 34 años,2020,2008.4
59,Ambos sexos,Formacion basica,De 25 a 34 años,2019,2026.9
60,Ambos sexos,Formacion basica,De 25 a 34 años,2018,2183.7
61,Ambos sexos,Formacion basica,De 25 a 34 años,2017,2329.3
62,Ambos sexos,Formacion basica,De 25 a 34 años,2016,2396.9
63,Ambos sexos,Formacion basica,De 35 a 44 años,2022,2820.2
64,Ambos sexos,Formacion basica,De 35 a 44 años,2021,2894.1
65,Ambos sexos,Formacion basica,De 35 a 44 años,2020,3065.0
66,Ambos sexos,Formacion basica,De 35 a 44 años,2019,3273.9
67,Ambos sexos,Formacion basica,De 35 a 44 años,2018,3238.7
68,Ambos sexos,Formacion basica,De 35 a 44 años,2017,3377.6
69,Ambos sexos,Formacion basica,De 35 a 44 años,2016,3447.9
70,Ambos sexos,Formacion basica,De 45 a 54 años,2022,3680.2
71,Ambos sexos,Formacion basica,De 45 a 54 años,2021,3650.5
72,Ambos sexos,Formacion basica,De 45 a 54 años,2020,3826.3
73,Ambos sexos,Formacion basica,De 45 a 54 años,2019,3875.1
74,Ambos sexos,Formacion basica,De 45 a 54 años,2018,3978.1
75,Ambos sexos,Formacion basica,De 45 a 54 años,2017,3985.8
76,Ambos sexos,Formacion basica,De 45 a 54 años,2016,4045.4
77,Ambos sexos,Formacion basica,55 y más años,2022,10745.2
78,Ambos sexos,Formacion basica,55 y más años,2021,10617.1
79,Ambos sexos,Formacion basica,55 y más años,2020,10750.0
80,Ambos sexos,Formacion basica,55 y más años,2019,10750.5
81,Ambos sexos,Formacion basica,55 y más años,2018,10667.9
82,Ambos sexos,Formacion basica,55 y más años,2017,10519.8
83,Ambos sexos,Formacion basica,55 y más años,2016,10582.3
84,Ambos sexos,Educación,Total,2022,1606.6
85,Ambos sexos,Educación,Total,2021,1576.5
86,Ambos sexos,Educación,Total,2020,1471.6
87,Ambos sexos,Educación,Total,2019,1532.2
88,Ambos sexos,Educación,Total,2018,1345.8
89,Ambos sexos,Educación,Total,2017,1358.6
90,Ambos sexos,Educación,Total,2016,1313.4
91,Ambos sexos,Educación,De 16 a 24 años,2022,88.6
92,Ambos sexos,Educación,De 16 a 24 años,2021,89.6
93,Ambos sexos,Educación,De 16 a 24 años,2020,75.5
94,Ambos sexos,Educación,De 16 a 24 años,2019,91.1
95,Ambos sexos,Educación,De 16 a 24 años,2018,80.4
96,Ambos sexos,Educación,De 16 a 24 años,2017,87.3
97,Ambos sexos,Educación,De 16 a 24 años,2016,90.6
98,Ambos sexos,Educación,De 25 a 34 años,2022,366.1
99,Ambos sexos,Educación,De 25 a 34 años,2021,365.0
100,Ambos sexos,Educación,De 25 a 34 años,2020,342.5
101,Ambos sexos,Educación,De 25 a 34 años,2019,342.1
102,Ambos sexos,Educación,De 25 a 34 años,2018,306.8
103,Ambos sexos,Educación,De 25 a 34 años,2017,308.0
104,Ambos sexos,Educación,De 25 a 34 años,2016,294.3
