,sexo,comunidades_y_ciudades_autónomas,rama_de_actividad_-_cnae_2009,periodo,total
0,Ambos sexos,Nacional,Total,2023,21005.5
1,Ambos sexos,Nacional,Total,2022,20390.6
2,Ambos sexos,Nacional,Total,2021,19773.6
3,Ambos sexos,Nacional,Total,2020,19202.4
4,Ambos sexos,Nacional,Total,2019,19779.3
5,Ambos sexos,Nacional,Total,2018,19327.7
6,Ambos sexos,Nacional,Total,2017,18824.8
7,Ambos sexos,Nacional,Total,2016,18341.5
8,Ambos sexos,Nacional,Total,2015,17866
9,Ambos sexos,Nacional,Total,2014,17344.2
10,Ambos sexos,Nacional,Total,2013,17139
11,Ambos sexos,Nacional,Total,2012,17632.7
12,Ambos sexos,Nacional,Total,2011,18421.4
13,Ambos sexos,Nacional,Total,2010,18724.5
14,Ambos sexos,Nacional,Total,2009,19106.9
15,Ambos sexos,Nacional,Total,2008,20469.7
16,Ambos sexos,Nacional,Agricultura,2023,742.6
17,Ambos sexos,Nacional,Agricultura,2022,774.8
18,Ambos sexos,Nacional,Agricultura,2021,802.7
19,Ambos sexos,Nacional,Agricultura,2020,765.3
20,Ambos sexos,Nacional,Agricultura,2019,797.3
21,Ambos sexos,Nacional,Agricultura,2018,812.6
22,Ambos sexos,Nacional,Agricultura,2017,819.5
23,Ambos sexos,Nacional,Agricultura,2016,774.5
24,Ambos sexos,Nacional,Agricultura,2015,736.8
25,Ambos sexos,Nacional,Agricultura,2014,735.8
26,Ambos sexos,Nacional,Agricultura,2013,736.6
27,Ambos sexos,Nacional,Agricultura,2012,743.4
28,Ambos sexos,Nacional,Agricultura,2011,755.3
29,Ambos sexos,Nacional,Agricultura,2010,786.1
30,Ambos sexos,Nacional,Agricultura,2009,788.1
31,Ambos sexos,Nacional,Agricultura,2008,828.2
32,Ambos sexos,Nacional,Industria general,2023,2792.9
33,Ambos sexos,Nacional,Industria general,2022,2771.3
34,Ambos sexos,Nacional,Industria general,2021,2700.1
35,Ambos sexos,Nacional,Industria general,2020,2698.2
36,Ambos sexos,Nacional,Industria general,2019,2763.1
37,Ambos sexos,Nacional,Industria general,2018,2708.3
38,Ambos sexos,Nacional,Industria general,2017,2647.4
39,Ambos sexos,Nacional,Industria general,2016,2522.2
40,Ambos sexos,Nacional,Industria general,2015,2482.3
41,Ambos sexos,Nacional,Industria general,2014,2379.9
42,Ambos sexos,Nacional,Industria general,2013,2355.5
43,Ambos sexos,Nacional,Industria general,2012,2483.7
44,Ambos sexos,Nacional,Industria general,2011,2604.7
45,Ambos sexos,Nacional,Industria general,2010,2650.4
46,Ambos sexos,Nacional,Industria general,2009,2807.6
47,Ambos sexos,Nacional,Industria general,2008,3236.7
48,Ambos sexos,Nacional,Industrias extractivas,2023,258.8
49,Ambos sexos,Nacional,Industrias extractivas,2022,266.3
50,Ambos sexos,Nacional,Industrias extractivas,2021,277.2
51,Ambos sexos,Nacional,Industrias extractivas,2020,267
52,Ambos sexos,Nacional,Industrias extractivas,2019,268.2
53,Ambos sexos,Nacional,Industrias extractivas,2018,264.1
54,Ambos sexos,Nacional,Industrias extractivas,2017,254
55,Ambos sexos,Nacional,Industrias extractivas,2016,238
56,Ambos sexos,Nacional,Industrias extractivas,2015,257.3
57,Ambos sexos,Nacional,Industrias extractivas,2014,238.5
58,Ambos sexos,Nacional,Industrias extractivas,2013,236.8
59,Ambos sexos,Nacional,Industrias extractivas,2012,259.8
60,Ambos sexos,Nacional,Industrias extractivas,2011,255
