,sexo,periodo,total
0,Hombres,2023,23442
1,Hombres,2022,23128
2,Hombres,2021,22978
3,Hombres,2020,23018
4,Hombres,2019,22966
5,Hombres,2018,22793
6,Hombres,2017,22653
7,Hombres,2016,22608
8,Hombres,2015,22590
9,Hombres,2014,22625
10,Hombres,2013,22662
11,Hombres,2012,22829
12,Hombres,2011,22900
13,Hombres,2010,22847
14,Hombres,2009,22788
15,Hombres,2008,22680
16,Hombres,2007,22377
17,Hombres,2006,21910
18,Hombres,2005,21532
19,Hombres,2004,21137
20,Hombres,2003,20760
21,Hombres,2002,20384
22,Mujeres,2023,24407
23,Mujeres,2022,24079
24,Mujeres,2021,23872
25,Mujeres,2020,23892
26,Mujeres,2019,23828
27,Mujeres,2018,23643
28,Mujeres,2017,23482
29,Mujeres,2016,23412
30,Mujeres,2015,23368
31,Mujeres,2014,23375
32,Mujeres,2013,23383
33,Mujeres,2012,23473
34,Mujeres,2011,23475
35,Mujeres,2010,23376
36,Mujeres,2009,23272
37,Mujeres,2008,23123
38,Mujeres,2007,22834
39,Mujeres,2006,22422
40,Mujeres,2005,22064
41,Mujeres,2004,21732
42,Mujeres,2003,21415
43,Mujeres,2002,21077
