,Tipo de jornada,Sexo,Decil,Periodo,Total
0,Total,Total,Total decil,2022,2128.37
1,Total,Total,Total decil,2021,2086.78
2,Total,Total,Total decil,2020,2038.59
3,Total,Total,Total decil,2019,1982.31
4,Total,Total,Total decil,2018,1944.42
5,Total,Total,Total decil,2017,1888.95
6,Total,Total,Total decil,2016,1878.09
7,Total,Total,Total decil,2015,1893.7
8,Total,Total,Total decil,2014,1881.32
9,Total,Total,Total decil,2013,1869.11
10,Total,Total,Total decil,2012,1850.26
11,Total,Total,Total decil,2011,1841.75
12,Total,Total,Total decil,2010,1838.82
13,Total,Total,Total decil,2009,1815.18
14,Total,Total,Total decil,2008,1774.34
15,Total,Total,Total decil,2007,1643.46
16,Total,Total,Total decil,2006,1572.59
187,Total,Hombres,Total decil,2022,2303.46
188,Total,Hombres,Total decil,2021,2276.85
189,Total,Hombres,Total decil,2020,2210.3
190,Total,Hombres,Total decil,2019,2173.62
191,Total,Hombres,Total decil,2018,2161.31
192,Total,Hombres,Total decil,2017,2090.65
193,Total,Hombres,Total decil,2016,2075.65
194,Total,Hombres,Total decil,2015,2122.47
195,Total,Hombres,Total decil,2014,2125.86
196,Total,Hombres,Total decil,2013,2102.1
197,Total,Hombres,Total decil,2012,2083.74
198,Total,Hombres,Total decil,2011,2058.04
199,Total,Hombres,Total decil,2010,2049.81
200,Total,Hombres,Total decil,2009,2023.93
201,Total,Hombres,Total decil,2008,1978.63
202,Total,Hombres,Total decil,2007,1814.38
203,Total,Hombres,Total decil,2006,1731.16
374,Total,Mujeres,Total decil,2022,1941.74
375,Total,Mujeres,Total decil,2021,1883.43
376,Total,Mujeres,Total decil,2020,1851.98
377,Total,Mujeres,Total decil,2019,1773.31
378,Total,Mujeres,Total decil,2018,1708.39
379,Total,Mujeres,Total decil,2017,1668.68
380,Total,Mujeres,Total decil,2016,1661.0
381,Total,Mujeres,Total decil,2015,1643.79
382,Total,Mujeres,Total decil,2014,1618.1
383,Total,Mujeres,Total decil,2013,1621.61
384,Total,Mujeres,Total decil,2012,1595.48
385,Total,Mujeres,Total decil,2011,1601.05
386,Total,Mujeres,Total decil,2010,1595.78
387,Total,Mujeres,Total decil,2009,1570.78
388,Total,Mujeres,Total decil,2008,1522.56
389,Total,Mujeres,Total decil,2007,1420.69
390,Total,Mujeres,Total decil,2006,1361.12
561,Jornada a tiempo completo,Total,Total decil,2022,2341.35
562,Jornada a tiempo completo,Total,Total decil,2021,2313.13
563,Jornada a tiempo completo,Total,Total decil,2020,2258.3
564,Jornada a tiempo completo,Total,Total decil,2019,2207.31
565,Jornada a tiempo completo,Total,Total decil,2018,2177.14
566,Jornada a tiempo completo,Total,Total decil,2017,2120.76
567,Jornada a tiempo completo,Total,Total decil,2016,2106.71
568,Jornada a tiempo completo,Total,Total decil,2015,2142.03
569,Jornada a tiempo completo,Total,Total decil,2014,2132.2
570,Jornada a tiempo completo,Total,Total decil,2013,2121.27
571,Jornada a tiempo completo,Total,Total decil,2012,2076.25
572,Jornada a tiempo completo,Total,Total decil,2011,2046.75
573,Jornada a tiempo completo,Total,Total decil,2010,2022.19
574,Jornada a tiempo completo,Total,Total decil,2009,1995.36
575,Jornada a tiempo completo,Total,Total decil,2008,1929.61
576,Jornada a tiempo completo,Total,Total decil,2007,1779.06
577,Jornada a tiempo completo,Total,Total decil,2006,1703.93
748,Jornada a tiempo completo,Hombres,Total decil,2022,2398.17
749,Jornada a tiempo completo,Hombres,Total decil,2021,2387.32
750,Jornada a tiempo completo,Hombres,Total decil,2020,2315.3
751,Jornada a tiempo completo,Hombres,Total decil,2019,2284.48
752,Jornada a tiempo completo,Hombres,Total decil,2018,2273.61
753,Jornada a tiempo completo,Hombres,Total decil,2017,2215.37
754,Jornada a tiempo completo,Hombres,Total decil,2016,2192.49
755,Jornada a tiempo completo,Hombres,Total decil,2015,2248.91
756,Jornada a tiempo completo,Hombres,Total decil,2014,2254.6
757,Jornada a tiempo completo,Hombres,Total decil,2013,2232.16
758,Jornada a tiempo completo,Hombres,Total decil,2012,2190.77
759,Jornada a tiempo completo,Hombres,Total decil,2011,2151.29
760,Jornada a tiempo completo,Hombres,Total decil,2010,2120.51
761,Jornada a tiempo completo,Hombres,Total decil,2009,2093.33
762,Jornada a tiempo completo,Hombres,Total decil,2008,2032.85
763,Jornada a tiempo completo,Hombres,Total decil,2007,1859.99
764,Jornada a tiempo completo,Hombres,Total decil,2006,1776.26
935,Jornada a tiempo completo,Mujeres,Total decil,2022,2267.22
936,Jornada a tiempo completo,Mujeres,Total decil,2021,2216.19
937,Jornada a tiempo completo,Mujeres,Total decil,2020,2182.82
938,Jornada a tiempo completo,Mujeres,Total decil,2019,2102.85
939,Jornada a tiempo completo,Mujeres,Total decil,2018,2045.81
940,Jornada a tiempo completo,Mujeres,Total decil,2017,1993.83
941,Jornada a tiempo completo,Mujeres,Total decil,2016,1989.81
942,Jornada a tiempo completo,Mujeres,Total decil,2015,1995.93
943,Jornada a tiempo completo,Mujeres,Total decil,2014,1966.22
944,Jornada a tiempo completo,Mujeres,Total decil,2013,1972.76
945,Jornada a tiempo completo,Mujeres,Total decil,2012,1920.36
946,Jornada a tiempo completo,Mujeres,Total decil,2011,1902.01
947,Jornada a tiempo completo,Mujeres,Total decil,2010,1880.84
948,Jornada a tiempo completo,Mujeres,Total decil,2009,1851.72
949,Jornada a tiempo completo,Mujeres,Total decil,2008,1771.91
950,Jornada a tiempo completo,Mujeres,Total decil,2007,1647.82
951,Jornada a tiempo completo,Mujeres,Total decil,2006,1583.25
1122,Jornada a tiempo parcial,Total,Total decil,2022,892.49
1123,Jornada a tiempo parcial,Total,Total decil,2021,830.37
1124,Jornada a tiempo parcial,Total,Total decil,2020,800.31
1125,Jornada a tiempo parcial,Total,Total decil,2019,806.19
1126,Jornada a tiempo parcial,Total,Total decil,2018,746.11
1127,Jornada a tiempo parcial,Total,Total decil,2017,731.44
1128,Jornada a tiempo parcial,Total,Total decil,2016,734.21
1129,Jornada a tiempo parcial,Total,Total decil,2015,697.24
1130,Jornada a tiempo parcial,Total,Total decil,2014,698.22
1131,Jornada a tiempo parcial,Total,Total decil,2013,696.97
1132,Jornada a tiempo parcial,Total,Total decil,2012,664.93
1133,Jornada a tiempo parcial,Total,Total decil,2011,697.16
1134,Jornada a tiempo parcial,Total,Total decil,2010,698.62
1135,Jornada a tiempo parcial,Total,Total decil,2009,706.91
1136,Jornada a tiempo parcial,Total,Total decil,2008,688.97
1137,Jornada a tiempo parcial,Total,Total decil,2007,660.15
1138,Jornada a tiempo parcial,Total,Total decil,2006,632.93
1309,Jornada a tiempo parcial,Hombres,Total decil,2022,920.67
1310,Jornada a tiempo parcial,Hombres,Total decil,2021,840.51
1311,Jornada a tiempo parcial,Hombres,Total decil,2020,832.06
1312,Jornada a tiempo parcial,Hombres,Total decil,2019,813.94
1313,Jornada a tiempo parcial,Hombres,Total decil,2018,747.68
1314,Jornada a tiempo parcial,Hombres,Total decil,2017,758.25
1315,Jornada a tiempo parcial,Hombres,Total decil,2016,765.65
1316,Jornada a tiempo parcial,Hombres,Total decil,2015,742.16
1317,Jornada a tiempo parcial,Hombres,Total decil,2014,721.36
1318,Jornada a tiempo parcial,Hombres,Total decil,2013,707.18
1319,Jornada a tiempo parcial,Hombres,Total decil,2012,706.41
1320,Jornada a tiempo parcial,Hombres,Total decil,2011,718.58
1321,Jornada a tiempo parcial,Hombres,Total decil,2010,731.31
1322,Jornada a tiempo parcial,Hombres,Total decil,2009,755.16
1323,Jornada a tiempo parcial,Hombres,Total decil,2008,750.64
1324,Jornada a tiempo parcial,Hombres,Total decil,2007,702.25
1325,Jornada a tiempo parcial,Hombres,Total decil,2006,650.97
1496,Jornada a tiempo parcial,Mujeres,Total decil,2022,884.31
1497,Jornada a tiempo parcial,Mujeres,Total decil,2021,827.13
1498,Jornada a tiempo parcial,Mujeres,Total decil,2020,790.03
1499,Jornada a tiempo parcial,Mujeres,Total decil,2019,803.67
1500,Jornada a tiempo parcial,Mujeres,Total decil,2018,745.62
1501,Jornada a tiempo parcial,Mujeres,Total decil,2017,721.64
1502,Jornada a tiempo parcial,Mujeres,Total decil,2016,723.32
1503,Jornada a tiempo parcial,Mujeres,Total decil,2015,681.87
1504,Jornada a tiempo parcial,Mujeres,Total decil,2014,690.56
1505,Jornada a tiempo parcial,Mujeres,Total decil,2013,693.6
1506,Jornada a tiempo parcial,Mujeres,Total decil,2012,652.19
1507,Jornada a tiempo parcial,Mujeres,Total decil,2011,690.92
