Sexo;Comunidades y Ciudades Autónomas;Rama de actividad - CNAE 2009;Periodo;Total
Ambos sexos;Total Nacional;Total;2023;21.005,5
Ambos sexos;Total Nacional;Total;2022;20.390,6
Ambos sexos;Total Nacional;Total;2021;19.773,6
Ambos sexos;Total Nacional;Total;2020;19.202,4
Ambos sexos;Total Nacional;Total;2019;19.779,3
Ambos sexos;Total Nacional;Total;2018;19.327,7
Ambos sexos;Total Nacional;Total;2017;18.824,8
Ambos sexos;Total Nacional;Total;2016;18.341,5
Ambos sexos;Total Nacional;Total;2015;17.866
Ambos sexos;Total Nacional;Total;2014;17.344,2
Ambos sexos;Total Nacional;Total;2013;17.139
Ambos sexos;Total Nacional;Total;2012;17.632,7
Ambos sexos;Total Nacional;Total;2011;18.421,4
Ambos sexos;Total Nacional;Total;2010;18.724,5
Ambos sexos;Total Nacional;Total;2009;19.106,9
Ambos sexos;Total Nacional;Total;2008;20.469,7
Ambos sexos;Total Nacional;A Agricultura ( A );2023;742,6
Ambos sexos;Total Nacional;A Agricultura ( A );2022;774,8
Ambos sexos;Total Nacional;A Agricultura ( A );2021;802,7
Ambos sexos;Total Nacional;A Agricultura ( A );2020;765,3
Ambos sexos;Total Nacional;A Agricultura ( A );2019;797,3
Ambos sexos;Total Nacional;A Agricultura ( A );2018;812,6
Ambos sexos;Total Nacional;A Agricultura ( A );2017;819,5
Ambos sexos;Total Nacional;A Agricultura ( A );2016;774,5
Ambos sexos;Total Nacional;A Agricultura ( A );2015;736,8
Ambos sexos;Total Nacional;A Agricultura ( A );2014;735,8
Ambos sexos;Total Nacional;A Agricultura ( A );2013;736,6
Ambos sexos;Total Nacional;A Agricultura ( A );2012;743,4
Ambos sexos;Total Nacional;A Agricultura ( A );2011;755,3
Ambos sexos;Total Nacional;A Agricultura ( A );2010;786,1
Ambos sexos;Total Nacional;A Agricultura ( A );2009;788,1
Ambos sexos;Total Nacional;A Agricultura ( A );2008;828,2
Ambos sexos;Total Nacional;Industria general;2023;2.792,9
Ambos sexos;Total Nacional;Industria general;2022;2.771,3
Ambos sexos;Total Nacional;Industria general;2021;2.700,1
Ambos sexos;Total Nacional;Industria general;2020;2.698,2
Ambos sexos;Total Nacional;Industria general;2019;2.763,1
Ambos sexos;Total Nacional;Industria general;2018;2.708,3
Ambos sexos;Total Nacional;Industria general;2017;2.647,4
Ambos sexos;Total Nacional;Industria general;2016;2.522,2
Ambos sexos;Total Nacional;Industria general;2015;2.482,3
Ambos sexos;Total Nacional;Industria general;2014;2.379,9
Ambos sexos;Total Nacional;Industria general;2013;2.355,5
Ambos sexos;Total Nacional;Industria general;2012;2.483,7
Ambos sexos;Total Nacional;Industria general;2011;2.604,7
Ambos sexos;Total Nacional;Industria general;2010;2.650,4
Ambos sexos;Total Nacional;Industria general;2009;2.807,6
Ambos sexos;Total Nacional;Industria general;2008;3.236,7
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2023;258,8
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2022;266,3
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2021;277,2
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2020;267
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2019;268,2
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2018;264,1
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2017;254
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2016;238
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2015;257,3
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2014;238,5
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2013;236,8
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2012;259,8
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2011;255
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2010;245
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2009;258,2
Ambos sexos;Total Nacional;B_E Industrias extractivas, suministro de energía eléctrica, gas, vapor y  aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación  ( B + D + E );2008;250,3
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2023;2.534,1
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2022;2.505
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2021;2.422,9
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2020;2.431,2
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2019;2.494,9
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2018;2.444,2
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2017;2.393,4
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2016;2.284,2
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2015;2.225
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2014;2.141,4
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2013;2.118,7
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2012;2.223,9
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2011;2.349,7
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2010;2.405,4
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2009;2.549,4
Ambos sexos;Total Nacional;C Industria manufacturera ( C );2008;2.986,4
Ambos sexos;Total Nacional;F Construcción ( F );2023;1.361,2
Ambos sexos;Total Nacional;F Construcción ( F );2022;1.321
Ambos sexos;Total Nacional;F Construcción ( F );2021;1.291,5
Ambos sexos;Total Nacional;F Construcción ( F );2020;1.244,1
