Sexo;Sector del nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;Total;2022;39.925,1
Ambos sexos;Total;Total;2021;39.654,2
Ambos sexos;Total;Total;2020;39.578,8
Ambos sexos;Total;Total;2019;39.269,3
Ambos sexos;Total;Total;2018;38.886,8
Ambos sexos;Total;Total;2017;38.654,1
Ambos sexos;Total;Total;2016;38.531,5
Ambos sexos;Total;De 16 a 24 años;2022;4.434,5
Ambos sexos;Total;De 16 a 24 años;2021;4.328,9
Ambos sexos;Total;De 16 a 24 años;2020;4.279
Ambos sexos;Total;De 16 a 24 años;2019;4.177,1
Ambos sexos;Total;De 16 a 24 años;2018;4.078
Ambos sexos;Total;De 16 a 24 años;2017;4.017,7
Ambos sexos;Total;De 16 a 24 años;2016;3.996,4
Ambos sexos;Total;De 25 a 34 años;2022;5.198,9
Ambos sexos;Total;De 25 a 34 años;2021;5.199,2
Ambos sexos;Total;De 25 a 34 años;2020;5.270,4
Ambos sexos;Total;De 25 a 34 años;2019;5.290,3
Ambos sexos;Total;De 25 a 34 años;2018;5.307,4
Ambos sexos;Total;De 25 a 34 años;2017;5.369,2
Ambos sexos;Total;De 25 a 34 años;2016;5.522,6
Ambos sexos;Total;De 35 a 44 años;2022;6.701,8
Ambos sexos;Total;De 35 a 44 años;2021;6.914,5
Ambos sexos;Total;De 35 a 44 años;2020;7.153,4
Ambos sexos;Total;De 35 a 44 años;2019;7.321,3
Ambos sexos;Total;De 35 a 44 años;2018;7.449,3
Ambos sexos;Total;De 35 a 44 años;2017;7.564,4
Ambos sexos;Total;De 35 a 44 años;2016;7.675,7
Ambos sexos;Total;De 45 a 54 años;2022;7.700,7
Ambos sexos;Total;De 45 a 54 años;2021;7.630,4
Ambos sexos;Total;De 45 a 54 años;2020;7.560,9
Ambos sexos;Total;De 45 a 54 años;2019;7.472,5
Ambos sexos;Total;De 45 a 54 años;2018;7.374,2
Ambos sexos;Total;De 45 a 54 años;2017;7.274,4
Ambos sexos;Total;De 45 a 54 años;2016;7.183,2
Ambos sexos;Total;55 y más años;2022;15.889,1
Ambos sexos;Total;55 y más años;2021;15.581,3
Ambos sexos;Total;55 y más años;2020;15.315,2
Ambos sexos;Total;55 y más años;2019;15.008
Ambos sexos;Total;55 y más años;2018;14.677,9
Ambos sexos;Total;55 y más años;2017;14.428,4
Ambos sexos;Total;55 y más años;2016;14.153,6
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2022;22.463,8
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2021;22.374,8
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2020;22.928,7
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2019;23.159,2
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2018;23.240,5
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2017;23.272,5
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;Total;2016;23.528,7
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2022;3.314,5
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2021;3.245,8
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2020;3.278,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2019;3.232,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2018;3.172,1
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2017;3.059,9
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 16 a 24 años;2016;3.056,2
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2022;1.903,7
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2021;1.967,2
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2020;2.008,4
Ambos sexos;00 Formación general, formación básica de adultos y habilidades personales;De 25 a 34 años;2019;2.026,9
