Edad;Sexo;Unidad;Periodo;Total
Total;Hombres;Valor absoluto;2023T4;23.442
Total;Hombres;Valor absoluto;2022T4;23.128
Total;Hombres;Valor absoluto;2021T4;22.978
Total;Hombres;Valor absoluto;2020T4;23.018
Total;Hombres;Valor absoluto;2019T4;22.966
Total;Hombres;Valor absoluto;2018T4;22.793
Total;Hombres;Valor absoluto;2017T4;22.653
Total;Hombres;Valor absoluto;2016T4;22.608
Total;Hombres;Valor absoluto;2015T4;22.590
Total;Hombres;Valor absoluto;2014T4;22.625
Total;Hombres;Valor absoluto;2013T4;22.662
Total;Hombres;Valor absoluto;2012T4;22.829
Total;Hombres;Valor absoluto;2011T4;22.900
Total;Hombres;Valor absoluto;2010T4;22.847
Total;Hombres;Valor absoluto;2009T4;22.788
Total;Hombres;Valor absoluto;2008T4;22.680
Total;Hombres;Valor absoluto;2007T4;22.377
Total;Hombres;Valor absoluto;2006T4;21.910
Total;Hombres;Valor absoluto;2005T4;21.532
Total;Hombres;Valor absoluto;2004T4;21.137
Total;Hombres;Valor absoluto;2003T4;20.760
Total;Hombres;Valor absoluto;2002T4;20.384
Total;Mujeres;Valor absoluto;2023T4;24.407
Total;Mujeres;Valor absoluto;2022T4;24.079
Total;Mujeres;Valor absoluto;2021T4;23.872
Total;Mujeres;Valor absoluto;2020T4;23.892
Total;Mujeres;Valor absoluto;2019T4;23.828
Total;Mujeres;Valor absoluto;2018T4;23.643
Total;Mujeres;Valor absoluto;2017T4;23.482
Total;Mujeres;Valor absoluto;2016T4;23.412
Total;Mujeres;Valor absoluto;2015T4;23.368
Total;Mujeres;Valor absoluto;2014T4;23.375
Total;Mujeres;Valor absoluto;2013T4;23.383
Total;Mujeres;Valor absoluto;2012T4;23.473
Total;Mujeres;Valor absoluto;2011T4;23.475
Total;Mujeres;Valor absoluto;2010T4;23.376
Total;Mujeres;Valor absoluto;2009T4;23.272
Total;Mujeres;Valor absoluto;2008T4;23.123
Total;Mujeres;Valor absoluto;2007T4;22.834
Total;Mujeres;Valor absoluto;2006T4;22.422
Total;Mujeres;Valor absoluto;2005T4;22.064
Total;Mujeres;Valor absoluto;2004T4;21.732
Total;Mujeres;Valor absoluto;2003T4;21.415
Total;Mujeres;Valor absoluto;2002T4;21.077
